Feature,Importance
MA3_Cases,0.217517904884888
Lag1_Cases,0.11589536993623867
YoY_Growth,0.11371339729408943
MoM_Growth,0.09509343837378824
Lag2_Cases,0.06594838387705942
Month_Sin,0.0634310609168865
MA6_Cases,0.06308311117773954
MA12_Cases,0.05402268317136033
Lag3_Cases,0.050106926068309736
Month_Cos,0.04467853794338993
MonthNum,0.04197138719498999
Year_Num,0.03483013475566809
region_BARMM,0.009026010608191146
region_Region XIII,0.0060754441599406425
region_Region XI,0.00442541389007496
region_Region II,0.004009222876651011
region_CAR,0.0033838853367549127
region_Region IV-B,0.002899597742793683
region_NCR,0.0024518196396643693
region_Region I,0.0022452693604566782
region_Region VI,0.0011782267915255978
region_Region III,0.0010223182656793263
region_Region V,0.0006409942232212649
region_Region VII,0.0006137330221035052
region_Region VIII,0.0006118271524379487
region_Region XII,0.0006013501051883178
region_Region X,0.00035198816705935774
region_Region IX,0.00017056306384928156
region_Region IV-A,0.0
