Region,Dengue_Cases_sum,Dengue_Cases_mean,Dengue_Cases_std,Dengue_Cases_max,Dengue_Deaths_sum,Dengue_Deaths_mean,Fatality_Rate,High_Season_Avg_Cases,Outbreak_Frequency,Risk_Score,Risk_Category,Cluster
Region IV-A,163029,2717.15,3485.7443424879057,21658,652,10.866666666666667,0.3999288470149483,5235.400000000001,0.05,60.76040766458411,高风险,2
Region VI,117523,1958.7166666666667,3135.241504452717,18090,1825,30.416666666666668,1.5528875198897236,4777.266666666667,0.05,56.26414274060433,中等风险,2
NCR,115966,1932.7666666666667,1936.9568860795723,11033,4008,66.8,3.4561854336615907,3561.3333333333335,0.05,54.43471303806655,中等风险,0
Region XII,59802,996.7,762.1152610901062,3579,2796,46.6,4.675428915420889,1551.6666666666667,0.05,38.88768900714218,低风险,3
Region III,131064,2184.4,1761.876765155049,9713,482,8.033333333333333,0.3677592626503082,3954.6,0.05,38.63420107639826,低风险,2
Region VII,110683,1844.7166666666667,1451.2118967294334,5534,1760,29.333333333333332,1.5901267584001157,2827.4666666666667,0.05,35.4936584783666,低风险,2
Region X,82437,1373.95,1149.8448152479286,4807,848,14.133333333333333,1.0286643133544402,2295.933333333333,0.05,25.526186719053847,低风险,1
CAR,30582,509.7,554.0773763501365,2769,1008,16.8,3.29605650382578,1046.4666666666665,0.05,24.458184275333338,低风险,3
Region VIII,51983,866.3833333333333,1305.9761216140166,7557,585,9.75,1.1253679087393955,1622.4000000000003,0.05,22.456530763880238,低风险,1
Region XIII,35293,588.2166666666667,508.4609910096656,2310,966,16.1,2.7370866744113562,898.4,0.05,20.991784410805682,低风险,3
Region IX,47781,796.35,1125.5465388054592,7024,532,8.866666666666667,1.1134132814298572,1429.3333333333333,0.05,20.31540669725493,低风险,1
Region I,59066,984.4333333333333,1005.1755115598212,4814,157,2.6166666666666667,0.2658043544509532,2083.733333333333,0.05,17.03600045840315,极低风险,1
BARMM,11537,192.28333333333333,190.27661324509273,811,332,5.533333333333333,2.877697841726619,306.73333333333335,0.05,14.807913072655992,极低风险,3
Region II,45141,752.35,866.7677894612015,3698,193,3.216666666666667,0.4275492346204116,1292.4666666666665,0.05,12.483474943900415,极低风险,1
Region XI,32522,542.0333333333333,448.43335452029845,2330,385,6.416666666666667,1.1838140335772707,848.7333333333332,0.05,11.500888316237079,极低风险,1
Region V,22167,369.45,481.3537909208759,2846,185,3.0833333333333335,0.8345739161817115,669.3333333333334,0.05,8.079014695267245,极低风险,1
Region IV-B,30849,514.15,474.0290281106479,2125,130,2.1666666666666665,0.42140750105351876,1050.0666666666668,0.05,7.5005259530419295,极低风险,1
