Region,Year,Month,Dengue_Cases,Risk_Score,Risk_Level,Outbreak
BARMM,2016,January,126,1.645480947161671,极低,0
BARMM,2016,February,92,2.893852386171662,低,0
BARMM,2016,March,107,3.326154589371981,低,0
BARMM,2016,April,109,3.5274328638455987,低,0
BARMM,2016,May,165,4.115613854061571,中,0
BARMM,2016,June,263,4.430606060606061,中,0
BARMM,2016,July,491,5.240550316040695,中,0
BARMM,2016,August,327,5.372592058272782,中,0
BARMM,2016,September,124,3.7586666666666666,低,0
BARMM,2016,October,82,1.8117031693838932,极低,0
BARMM,2016,November,143,2.099161163963839,低,0
BARMM,2016,December,162,2.1708671328671327,低,0
BARMM,2017,January,74,2.618592058272782,低,0
BARMM,2017,February,59,2.5462968306161065,低,0
BARMM,2017,March,25,2.7795555555555556,低,0
BARMM,2017,April,36,3.247852386171662,低,0
BARMM,2017,May,22,2.8327412750605516,低,0
BARMM,2017,June,57,3.509777777777778,低,0
BARMM,2017,July,62,2.3609050177506097,低,0
BARMM,2017,August,41,1.7752587249394491,极低,0
BARMM,2017,September,33,1.1471111111111112,极低,0
BARMM,2017,October,38,0.9494405431212671,极低,0
BARMM,2017,November,17,0.8012587249394486,极低,0
BARMM,2017,December,21,1.1717385620915033,极低,0
BARMM,2018,January,149,3.5592587249394487,低,0
BARMM,2018,February,129,4.000741275060551,中,0
BARMM,2018,March,77,4.418444444444445,中,0
BARMM,2018,April,124,4.963575329894606,中,0
BARMM,2018,May,164,4.996655253555175,中,0
BARMM,2018,June,254,5.3850027100271,中,0
BARMM,2018,July,412,5.8427885191550395,中,0
BARMM,2018,August,253,5.718592058272782,中,0
BARMM,2018,September,261,4.328509442248572,中,0
BARMM,2018,October,246,3.885925391606116,低,0
BARMM,2018,November,183,3.7181476138283376,低,0
BARMM,2018,December,208,3.692389799635701,低,0
BARMM,2019,January,201,3.4802520135300528,低,0
BARMM,2019,February,309,5.315610263451927,中,0
BARMM,2019,March,303,6.007333333333333,高,0
BARMM,2019,April,221,6.050332672910014,高,0
BARMM,2019,May,284,5.765072020992444,中,0
BARMM,2019,June,554,7.0813708920187795,高,0
BARMM,2019,July,772,7.83069615454836,高,1
BARMM,2019,August,811,7.275999081876697,高,1
BARMM,2019,September,807,6.75,高,1
BARMM,2019,October,481,6.430765500007199,高,0
BARMM,2019,November,362,6.172956356997736,高,0
BARMM,2019,December,288,4.5632820512820516,中,0
BARMM,2020,January,212,3.965985093098653,低,0
BARMM,2020,February,233,3.960020101056358,低,0
BARMM,2020,March,207,4.372444444444445,中,0
BARMM,2020,April,23,4.280963497282773,中,0
BARMM,2020,May,27,3.1219876518721454,低,0
BARMM,2020,June,48,3.2986666666666666,低,0
BARMM,2020,July,100,3.256963497282774,低,0
BARMM,2020,August,91,2.091036502717227,低,0
BARMM,2020,September,16,1.5260000000000002,极低,0
BARMM,2020,October,13,0.7048142804950044,极低,0
BARMM,2020,November,15,0.7562159898967136,极低,0
BARMM,2020,December,23,1.43,极低,0
CAR,2016,January,579,3.155480947161671,低,0
CAR,2016,February,276,6.199519052838329,高,0
CAR,2016,March,191,5.068222222222222,中,0
CAR,2016,April,226,4.6237651261367585,中,0
CAR,2016,May,504,5.903852386171662,中,0
CAR,2016,June,1358,8.25,极高,0
CAR,2016,July,2769,7.774519052838329,高,1
CAR,2016,August,2179,6.225480947161671,高,1
CAR,2016,September,538,5.75,中,0
CAR,2016,October,261,5.475480947161671,中,0
CAR,2016,November,161,3.1081476138283373,低,0
CAR,2016,December,122,2.3204444444444445,低,0
CAR,2017,January,166,2.817025573755478,低,0
CAR,2017,February,123,3.2271857195049956,低,0
CAR,2017,March,76,3.3935555555555554,低,0
CAR,2017,April,76,3.2860746083938848,低,0
CAR,2017,May,57,3.2127412750605515,低,0
CAR,2017,June,146,3.902,低,0
CAR,2017,July,532,4.467185719504996,中,0
CAR,2017,August,841,6.4940857926086215,高,0
CAR,2017,September,610,5.883828996282528,中,0
CAR,2017,October,661,6.55908750453872,高,0
CAR,2017,November,391,6.322147613828338,高,0
CAR,2017,December,366,5.671555555555556,中,0
CAR,2018,January,320,5.545858457201832,中,0
CAR,2018,February,234,5.619180299450795,中,0
CAR,2018,March,173,5.461777777777778,中,0
CAR,2018,April,128,4.841174023598563,中,0
CAR,2018,May,188,5.304602386171663,中,0
CAR,2018,June,467,6.247999999999999,高,0
CAR,2018,July,1330,8.576519052838329,极高,0
CAR,2018,August,1265,6.729642659408995,高,0
CAR,2018,September,1221,6.75,高,0
CAR,2018,October,915,5.85974721039919,中,0
CAR,2018,November,649,6.135327494476249,高,0
CAR,2018,December,694,6.715512305606777,高,0
CAR,2019,January,470,6.694230947161671,高,0
CAR,2019,February,694,8.07111479751918,极高,0
CAR,2019,March,398,7.985555555555555,高,0
