Month,Year,Region,Dengue_Cases,Dengue_Deaths,MonthNum,Date,YearMonth,Lag1_Cases,Lag2_Cases,Lag3_Cases,Month_Sin,Month_Cos,MA3_Cases,MA6_Cases,MA12_Cases,EWMA3_Cases,MoM_Growth,YoY_Growth,Outbreak,Outbreak_Level,Risk_Score,Risk_Level
January,2016,BARMM,126,2,1,2016-01-01,2016-01,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,126.0,126.0,126.0,126.0,0.0,0.0,0,0,1.645480947161671,极低
February,2016,BARMM,92,2,2,2016-02-01,2016-02,126.0,0.0,0.0,0.8660254037844386,0.5000000000000001,109.0,109.0,109.0,103.33333333333333,-0.2698412698412699,0.0,0,0,2.893852386171662,低
March,2016,BARMM,107,3,3,2016-03-01,2016-03,92.0,126.0,0.0,1.0,6.123233995736766e-17,108.33333333333333,108.33333333333333,108.33333333333333,105.42857142857143,0.16304347826086962,0.0,0,0,3.326154589371981,低
April,2016,BARMM,109,4,4,2016-04-01,2016-04,107.0,92.0,126.0,0.8660254037844387,-0.4999999999999998,102.66666666666667,108.5,108.5,107.33333333333333,0.01869158878504673,0.0,0,0,3.5274328638455987,低
May,2016,BARMM,165,4,5,2016-05-01,2016-05,109.0,107.0,92.0,0.49999999999999994,-0.8660254037844387,127.0,119.8,119.8,137.09677419354838,0.5137614678899083,0.0,0,0,4.115613854061571,中
June,2016,BARMM,263,7,6,2016-06-01,2016-06,165.0,109.0,107.0,1.2246467991473532e-16,-1.0,179.0,143.66666666666666,143.66666666666666,201.04761904761904,0.593939393939394,0.0,0,1,4.430606060606061,中
July,2016,BARMM,491,2,7,2016-07-01,2016-07,263.0,165.0,109.0,-0.4999999999999997,-0.8660254037844388,306.3333333333333,204.5,193.28571428571428,347.1653543307087,0.8669201520912548,0.0,0,2,5.240550316040695,中
August,2016,BARMM,327,2,8,2016-08-01,2016-08,491.0,263.0,165.0,-0.8660254037844385,-0.5000000000000004,360.3333333333333,243.66666666666666,210.0,337.043137254902,-0.3340122199592668,0.0,0,1,5.372592058272782,中
September,2016,BARMM,124,105,9,2016-09-01,2016-09,327.0,491.0,263.0,-1.0,-1.8369701987210297e-16,314.0,246.5,200.44444444444446,230.31311154598825,-0.6207951070336392,0.0,0,0,3.7586666666666666,低
October,2016,BARMM,82,109,10,2016-10-01,2016-10,124.0,327.0,491.0,-0.8660254037844386,0.5000000000000001,177.66666666666666,242.0,188.6,156.08406647116325,-0.33870967741935487,0.0,0,0,1.8117031693838932,极低
November,2016,BARMM,143,1,11,2016-11-01,2016-11,82.0,124.0,327.0,-0.5000000000000004,0.8660254037844384,116.33333333333333,238.33333333333334,184.45454545454547,149.53883732291158,0.7439024390243902,0.0,0,0,2.099161163963839,低
December,2016,BARMM,162,2,12,2016-12-01,2016-12,143.0,82.0,124.0,-2.4492935982947064e-16,1.0,129.0,221.5,182.58333333333334,155.77094017094018,0.13286713286713292,0.0,0,0,2.1708671328671327,低
January,2017,BARMM,74,0,1,2017-01-01,2017-01,162.0,143.0,82.0,0.49999999999999994,0.8660254037844387,126.33333333333333,152.0,178.25,114.88047857404469,-0.5432098765432098,-0.4126984126984127,0,0,2.618592058272782,低
February,2017,BARMM,59,1,2,2017-02-01,2017-02,74.0,162.0,143.0,0.8660254037844386,0.5000000000000001,98.33333333333333,107.33333333333333,175.5,86.93853384605994,-0.20270270270270274,-0.3586956521739131,0,0,2.5462968306161065,低
March,2017,BARMM,25,0,3,2017-03-01,2017-03,59.0,74.0,162.0,1.0,6.123233995736766e-17,52.666666666666664,90.83333333333333,168.66666666666666,55.968321787163916,-0.576271186440678,-0.7663551401869159,0,0,2.7795555555555556,低
April,2017,BARMM,36,0,4,2017-04-01,2017-04,25.0,59.0,74.0,0.8660254037844387,-0.4999999999999998,40.0,83.16666666666667,162.58333333333334,45.98400854505226,0.43999999999999995,-0.6697247706422018,0,0,3.247852386171662,低
May,2017,BARMM,22,0,5,2017-05-01,2017-05,36.0,25.0,59.0,0.49999999999999994,-0.8660254037844387,27.666666666666668,63.0,150.66666666666666,33.991912780096285,-0.38888888888888884,-0.8666666666666667,0,0,2.8327412750605516,低
June,2017,BARMM,57,0,6,2017-06-01,2017-06,22.0,36.0,25.0,1.2246467991473532e-16,-1.0,38.333333333333336,45.5,133.5,45.49600027465925,1.5909090909090908,-0.7832699619771863,0,0,3.509777777777778,低
July,2017,BARMM,62,0,7,2017-07-01,2017-07,57.0,22.0,36.0,-0.4999999999999997,-0.8660254037844388,47.0,43.5,97.75,53.7480158768003,0.08771929824561409,-0.8737270875763747,0,0,2.3609050177506097,低
August,2017,BARMM,41,0,8,2017-08-01,2017-08,62.0,57.0,22.0,-0.8660254037844385,-0.5000000000000004,53.333333333333336,40.5,73.91666666666667,47.37400185966669,-0.33870967741935487,-0.8746177370030581,0,0,1.7752587249394491,极低
September,2017,BARMM,33,1,9,2017-09-01,2017-09,41.0,62.0,57.0,-1.0,-1.8369701987210297e-16,45.333333333333336,41.833333333333336,66.33333333333333,40.18699750280261,-0.19512195121951215,-0.7338709677419355,0,0,1.1471111111111112,极低
October,2017,BARMM,38,0,10,2017-10-01,2017-10,33.0,41.0,62.0,-0.8660254037844386,0.5000000000000001,37.333333333333336,42.166666666666664,62.666666666666664,39.09349849069083,0.1515151515151516,-0.5365853658536586,0,0,0.9494405431212671,极低
November,2017,BARMM,17,0,11,2017-11-01,2017-11,38.0,33.0,41.0,-0.5000000000000004,0.8660254037844384,29.333333333333332,41.333333333333336,52.166666666666664,28.046747928470126,-0.5526315789473684,-0.8811188811188811,0,0,0.8012587249394486,极低
December,2017,BARMM,21,0,12,2017-12-01,2017-12,17.0,38.0,33.0,-2.4492935982947064e-16,1.0,25.333333333333332,35.333333333333336,40.416666666666664,24.5233737542256,0.23529411764705888,-0.8703703703703703,0,0,1.1717385620915033,极低
January,2018,BARMM,149,2,1,2018-01-01,2018-01,21.0,17.0,38.0,0.49999999999999994,0.8660254037844387,62.333333333333336,49.833333333333336,46.666666666666664,86.76168873195913,6.095238095238095,1.0135135135135136,0,0,3.5592587249394487,低
February,2018,BARMM,129,1,2,2018-02-01,2018-02,149.0,21.0,17.0,0.8660254037844386,0.5000000000000001,99.66666666666667,64.5,52.5,107.88084468067952,-0.13422818791946312,1.1864406779661016,0,0,4.000741275060551,中
March,2018,BARMM,77,2,3,2018-03-01,2018-03,129.0,149.0,21.0,1.0,6.123233995736766e-17,118.33333333333333,71.83333333333333,56.833333333333336,92.44042222529964,-0.4031007751937985,2.08,0,0,4.418444444444445,中
April,2018,BARMM,124,3,4,2018-04-01,2018-04,77.0,129.0,149.0,0.8660254037844387,-0.4999999999999998,110.0,86.16666666666667,64.16666666666667,108.22021117143412,0.6103896103896105,2.4444444444444446,0,0,4.963575329894606,中
May,2018,BARMM,164,1,5,2018-05-01,2018-05,124.0,77.0,129.0,0.49999999999999994,-0.8660254037844387,121.66666666666667,110.66666666666667,76.0,136.11010563766604,0.32258064516129026,6.454545454545454,0,0,4.996655253555175,中
June,2018,BARMM,254,5,6,2018-06-01,2018-06,164.0,124.0,77.0,1.2246467991473532e-16,-1.0,180.66666666666666,149.5,92.41666666666667,195.05505287372978,0.5487804878048781,3.4561403508771926,0,0,5.3850027100271,中
July,2018,BARMM,412,3,7,2018-07-01,2018-07,254.0,164.0,124.0,-0.4999999999999997,-0.8660254037844388,276.6666666666667,193.33333333333334,121.58333333333333,303.5275264873763,0.6220472440944882,5.645161290322581,0,1,5.8427885191550395,中
August,2018,BARMM,253,2,8,2018-08-01,2018-08,412.0,254.0,164.0,-0.8660254037844385,-0.5000000000000004,306.3333333333333,214.0,139.25,278.26376323780596,-0.38592233009708743,5.170731707317073,0,0,5.718592058272782,中
September,2018,BARMM,261,0,9,2018-09-01,2018-09,253.0,412.0,254.0,-1.0,-1.8369701987210297e-16,308.6666666666667,244.66666666666666,158.25,269.6318816178981,0.031620553359683834,6.909090909090909,0,1,4.328509442248572,中
October,2018,BARMM,246,8,10,2018-10-01,2018-10,261.0,253.0,412.0,-0.8660254037844386,0.5000000000000001,253.33333333333334,265.0,175.58333333333334,257.8159408082613,-0.05747126436781613,5.473684210526316,0,0,3.885925391606116,低
November,2018,BARMM,183,4,11,2018-11-01,2018-11,246.0,261.0,253.0,-0.5000000000000004,0.8660254037844384,230.0,268.1666666666667,189.41666666666666,220.40797040304193,-0.25609756097560976,9.764705882352942,0,0,3.7181476138283376,低
December,2018,BARMM,208,2,12,2018-12-01,2018-12,183.0,246.0,261.0,-2.4492935982947064e-16,1.0,212.33333333333334,260.5,205.0,214.20398520143067,0.13661202185792343,8.904761904761905,0,0,3.692389799635701,低
January,2019,BARMM,201,2,1,2019-01-01,2019-01,208.0,183.0,246.0,0.49999999999999994,0.8660254037844387,197.33333333333334,225.33333333333334,209.33333333333334,207.6019926006673,-0.033653846153846145,0.34899328859060397,0,0,3.4802520135300528,低
February,2019,BARMM,309,4,2,2019-02-01,2019-02,201.0,208.0,183.0,0.8660254037844386,0.5000000000000001,239.33333333333334,234.66666666666666,224.33333333333334,258.3009963005181,0.5373134328358209,1.3953488372093021,0,1,5.315610263451927,中
March,2019,BARMM,303,2,3,2019-03-01,2019-03,309.0,201.0,208.0,1.0,6.123233995736766e-17,271.0,241.66666666666666,243.16666666666666,280.6504981502997,-0.01941747572815533,2.935064935064935,0,1,6.007333333333333,高
April,2019,BARMM,221,2,4,2019-04-01,2019-04,303.0,309.0,201.0,0.8660254037844387,-0.4999999999999998,277.6666666666667,237.5,251.25,250.8252490751227,-0.2706270627062707,0.782258064516129,0,0,6.050332672910014,高
May,2019,BARMM,284,2,5,2019-05-01,2019-05,221.0,303.0,309.0,0.49999999999999994,-0.8660254037844387,269.3333333333333,254.33333333333334,261.25,267.4126245375689,0.2850678733031675,0.7317073170731707,0,1,5.765072020992444,中
June,2019,BARMM,554,4,6,2019-06-01,2019-06,284.0,221.0,303.0,1.2246467991473532e-16,-1.0,353.0,312.0,286.25,410.70631226881704,0.9507042253521127,1.1811023622047245,0,2,7.0813708920187795,高
July,2019,BARMM,772,2,7,2019-07-01,2019-07,554.0,284.0,221.0,-0.4999999999999997,-0.8660254037844388,536.6666666666666,407.1666666666667,316.25,591.353156134429,0.39350180505415167,0.8737864077669903,1,3,7.83069615454836,高
August,2019,BARMM,811,6,8,2019-08-01,2019-08,772.0,554.0,284.0,-0.8660254037844385,-0.5000000000000004,712.3333333333334,490.8333333333333,362.75,701.1765780672208,0.050518134715025864,2.205533596837945,1,4,7.275999081876697,高
